area,density,crit. CV,crit. peak,TW,L,s,speed,circuity,cap,mrt,veh,veh-hrs,veh-km
2936.2,0.047,0.21181,18,34,494,3,17,1.3558,7,1.9767,4.262679877,6.225983156,9.0591965
214.03,1.6026,0.27039,34,40,474,5,32,1.2761,13,2.107,3.401197382,5.162096647,8.627832549
2341.8,0.0632,0.1715,21,45,561,7,24,1.251,12,2.189,3.555348061,5.625929035,8.803982866
6749.2,0.052303,0.28612,45,25,550,4,19,1.4407,7,2.0015,5.480638923,7.647738334,10.59217731
1814.5,0.087626,0.28295,23,52,494,6,19,1.1594,10,1.7373,3.737669618,5.70488187,8.649320849
5830.7,0.062428,0.41479,49,37,550,3,19,1.0232,10,1.5517,4.844187086,6.949568782,9.894007761
1354.4,0.12477,0.41922,24,35,591,3,18,1.3053,6,2.1173,3.663561646,5.661918271,8.552290028
4979.3,0.07511,0.31998,40,58,425,6,37,1.354,11,2.9107,4.553876892,6.456204347,10.06712226
961.51,0.18617,0.10689,22,27,559,3,30,1.3559,12,2.5393,3.258096538,5.109514854,8.510712235
4195.2,0.091534,0.61194,59,18,428,7,30,1.3556,11,1.8622,4.927253685,6.751510742,10.15270812
635.73,0.29887,1.034,30,57,373,4,15,1.2014,12,2.4784,3.828641396,5.554470071,8.262520273
3478.1,0.11357,0.6108,74,46,495,6,27,1.1379,11,2.9465,4.394449155,6.418658531,9.714495397
377.1,0.53036,0.18744,24,57,508,5,17,1.2914,8,2.0266,3.433987204,5.338883328,8.172096672
2828.2,0.1432,0.48,58,40,598,8,16,1.209,9,2.4687,4.836281907,7.03764254,9.810231262
185.63,1.1313,0.31624,28,19,392,4,31,1.2602,11,2.5607,3.091042453,4.602276002,8.036263206
2245.5,0.18482,0.6372,72,57,442,8,25,1.4692,6,2.9734,4.779123493,6.706201972,9.925077797
6585,0.033409,0.31756,28,54,548,3,30,1.1536,7,2.6197,3.891820298,5.997868995,9.399066376
1729.9,0.24626,0.92351,92,52,471,8,24,1.1298,5,2.5424,4.430816799,6.374956674,9.553010505
5678.2,0.040682,0.45938,38,20,411,3,33,1.4788,10,1.7082,4.736198448,6.52563065,10.02213821
1281.5,0.34024,0.84459,86,30,367,7,18,1.1393,7,2.213,4.890349128,6.595862478,9.486234236
4838.5,0.049809,0.23516,31,56,563,8,39,1.3411,7,2.6012,3.931825633,6.032870371,9.696432017
900.18,0.49546,0.59861,78,55,591,7,39,1.1747,12,1.6872,3.912023005,5.848661736,9.512223382
4065.9,0.061732,0.22509,29,35,538,4,27,1.4268,7,1.8008,4.290459441,6.347844448,9.643681314
586.05,0.7798,0.29456,63,23,592,4,22,1.4227,9,1.9725,4.094344562,6.072721901,9.163764355
3360.5,0.077963,0.6209,37,36,504,3,39,1.1595,10,1.658,3.850147602,5.702581754,9.3661434
339.07,1.3773,0.57585,84,25,427,6,20,1.2972,9,2.3916,4.276666119,5.996725683,8.992457957
2722.3,0.099915,0.26382,31,21,511,7,20,1.2401,7,1.9447,4.521788577,6.520370728,9.516103002
7385.2,0.064589,0.6927,104,40,492,8,19,1.3878,13,2.5753,5.932245187,8.104310642,11.04874962
2151.2,0.13109,0.51328,34,43,531,7,26,1.3947,9,1.7118,4.219507705,6.198783548,9.456880086
6422.9,0.075979,0.67315,87,15,498,6,16,1.4638,7,1.8934,6.068425588,8.284731359,11.05732008
1647.3,0.17787,0.9347,51,42,561,7,39,1.0295,7,1.8919,3.610917913,5.529825834,9.19338748
5527.7,0.090092,0.71853,116,55,362,6,23,1.3306,9,1.7109,5.883322388,7.705397601,10.84089182
1210.5,0.25031,0.14463,31,58,581,7,11,1.1288,8,1.5343,4.477336814,6.603035553,9.000930826
4699.6,0.02298,0.34861,16,39,523,3,38,1.0323,7,2.2343,2.995732274,4.939855112,8.577441272
840.86,0.37224,0.54494,39,16,368,6,40,1.1133,8,2.4753,3.891820298,5.401956401,9.090835855
3938.7,0.030213,0.46515,23,36,388,5,40,1.4971,5,2.1344,3.663561646,5.359741669,9.048621123
538.38,0.6018,0.54188,47,20,570,3,16,1.3991,11,2.8114,3.970291914,5.966146739,8.738735461
3245,0.039753,0.56004,25,54,486,8,26,1.3305,7,2.2451,3.761200116,5.679865395,8.937961933
303.06,1.1021,0.51628,43,36,445,3,27,1.4178,9,2.0247,3.555348061,5.278369729,8.574206595
2618.4,0.053086,0.16383,19,40,515,4,26,1.3957,8,1.7644,3.63758616,5.613784825,8.871881363
7213.4,0.047689,0.482,51,35,592,7,38,1.1839,6,1.5974,4.33073334,6.420922836,10.058509
2059,0.072852,0.44186,24,47,371,5,21,1.0603,11,2.5803,3.80666249,5.516488576,8.561011014
6262.7,0.056684,0.66792,54,29,400,3,15,1.1256,13,2.5984,5.765191103,7.784681287,10.49273149
1566.7,0.10213,0.31631,27,31,437,5,22,1.2921,10,2.4396,3.784189634,5.609947872,8.700990326
5379.2,0.067854,0.55697,57,35,362,4,21,1.2632,6,1.8243,5.590986981,7.407196344,10.45171878
1141.6,0.14892,0.22605,23,55,600,4,20,1.1269,8,2.7015,3.295836866,5.314485948,8.310218221
4562.8,0.082186,0.62728,55,44,556,6,26,1.1133,5,2.8118,4.394449155,6.515275495,9.773372033
783.57,0.23099,0.26165,28,45,385,2,36,1.1101,8,1.5885,3.044522438,4.684812814,8.268331752
3813.6,0.10122,0.55624,52,28,379,5,17,1.2319,9,2.2306,5.605802066,7.461697862,10.29491121
492.74,0.38763,0.21506,25,32,538,5,30,1.0134,8,2.7343,2.995732274,4.797111986,8.198309368
3131.5,0.12646,0.39135,58,45,554,6,35,1.1138,12,1.6085,4.189654742,6.162366987,9.717715048
269.07,0.74703,0.30861,26,27,382,4,20,1.154,11,2.5422,3.36729583,4.966404719,7.962136993
2516.5,0.16133,0.60555,70,29,419,4,36,1.3636,7,2.3145,4.442651256,6.211101959,9.794620898
